Owners,AppID,Name,Type,Changed,Kinguin,Achievements
2.81%,817130,WWE 2K19,Purchase disabled,07/2022,,47
2.81%,831690,Piano Play 3D,Purchase disabled,01/2022,,0
2.81%,979520,Starblazer,Purchase disabled,02/2023,,24
2.79%,299010,Mana Crusher,Delisted,,223,?
2.79%,1001760,Xtreme League,Purchase disabled,03/2022,,9
2.79%,1155440,Tactics & Strategy Master 3:Gemini Strategy,Purchase disabled,02/2021,,15
2.79%,722190,EEP 14 Basic,Purchase disabled,07/2022,,?
2.79%,1028210,Hentai Fantasy,Purchase disabled,12/2020,,69
2.79%,1415870,Knight`s Pride,Purchase disabled,03/2021,,4
2.78%,1365920,???????,F2P (unavailable),08/2020,,?
2.77%,456610,Pro Evolution Soccer 2017,Delisted,11/2017,,?
2.77%,1019420,Horny Girl,Purchase disabled,12/2020,,100
2.77%,1042270,Juicy Hentai,Purchase disabled,12/2020,,69
2.77%,716890,Liquidator,Delisted,11/2021,,0
2.77%,1114070,My Child Lebensborn,Purchase disabled,07/2023,,64
2.77%,1516510,INFINITE VERSUS: 3D MUGEN,F2P (unavailable),03/2021,,?
2.76%,831980,Out of the Park Baseball 20,Purchase disabled,07/2022,,144
2.76%,1047410,Steambirds Alliance Open Beta,F2P (unavailable),08/2019,,?
2.76%,2090950,Magic Tower & Maidens,Purchase disabled,03/2023,,?
2.75%,47540,Puzzle Quest 2,Purchase disabled,10/2018,,53
2.75%,664430,WWE 2K18,Purchase disabled,07/2022,,52
2.75%,896730,Dare Course,Purchase disabled,03/2022,,8
2.74%,1133430,Ashes of Creation Apocalypse,F2P (unavailable),03/2020,,?
2.74%,1179220,Gaijin Troubles,Purchase disabled,08/2023,,?
2.74%,1147670,Hentai Fetish Tycoon,Purchase disabled,12/2021,,?
2.73%,61220,Battle: Los Angeles,Delisted,03/2017,,?
2.73%,720560,Vigil: The Longest Night,Purchase disabled,07/2023,,47
2.72%,900870,Super Dig Man Deluxe,F2P (unavailable),03/2021,,?
2.72%,970690,Operation Snowman,Purchase disabled,01/2022,,20
2.72%,1455660,Out of the Park Baseball 22,Purchase disabled,07/2022,,169
2.72%,1837750,Demeo - PC Edition,Purchase disabled,05/2023,,?
2.72%,384320,Handball 16,Purchase disabled,08/2020,1.78,25
2.71%,696200,Mike Dies,Purchase disabled,03/2023,,0
2.69%,1091970,Medicalholodeck Pro Free Trial,F2P (unavailable),12/2019,,?
2.69%,475990,MTB Downhill Simulator,Delisted,07/2017,,?
2.69%,517700,Custom Town,Delisted,02/2018,,234
2.67%,409530,8DAYS,Delisted,04/2018,,30
2.67%,431000,DEFENDERS,Delisted,05/2017,,?
2.67%,890840,Ilhumia,F2P (unavailable),05/2019,,0
2.67%,983890,Digging Dragon,Purchase disabled,01/2022,,15
2.67%,1292010,Missile Command: Recharged,Purchase disabled,10/2022,,20
2.66%,205790,Dota 2 Test,Test app,09/2022,,?
2.66%,789960,DARCO - Reign of Elements,Purchase disabled,01/2019,,0
2.66%,19930,The Settlers: Rise of an Empire Gold Edition,Delisted,01/2019,13.68,0
2.66%,1181340,SHATTER,Delisted,02/2020,,?
2.65%,38200,Raven Squad,Delisted,,28.58,0
2.65%,926480,The Secret of Puffin Cove,Purchase disabled,01/2020,,?
2.65%,965840,Club Lighting,Purchase disabled,01/2022,,10
2.64%,38900,Rhythm Zone,Delisted,,,?
2.64%,619290,Out of the Park Baseball 19,Purchase disabled,07/2022,,78
2.63%,303820,Rugby 15,Delisted,10/2017,6.4,20
2.63%,511440,Last Year: The Nightmare,Purchase disabled,12/2021,,17
2.63%,765390,The Darkness,Purchase disabled,11/2021,,0
2.63%,955470,The Royal Game of Ur,Purchase disabled,01/2023,,?
2.63%,1282330,Abracadabrew : Prologue,F2P (unavailable),09/2020,,?
2.62%,813200,DDS (D.I.Y Drone Simulator) Demo,F2P (unavailable),04/2019,,0
2.62%,933690,Trains of the Orient,Purchase disabled,01/2022,,13
2.61%,717200,KEEPER-the hunter of insect,Purchase disabled,05/2023,,9
2.61%,802390,Astonia Reborn,F2P (unavailable),12/2018,,?
2.61%,1299900,Everland (Stress Test),F2P (unavailable),05/2020,,?
2.61%,61530,Age of Wonders: Trilogy Soundtrack,Delisted,,,?
2.61%,995840,Road to Guangdong,Purchase disabled,06/2020,17.42,15
2.61%,1345980,Survive,F2P (unavailable),09/2020,,?
2.60%,771040,Panzer Waltz,Unreleased,07/2019,,?
2.59%,319410,Duck Dynasty,Delisted,11/2017,57.3,33
2.59%,1263860,Football Manager 2021 Touch,Purchase disabled,01/2022,,94
2.59%,850290,Grimmwood Open beta,F2P (unavailable),08/2018,,0
2.59%,885090,Digital Siege,Purchase disabled,01/2022,,20
2.59%,1564800,Hopeless Dregs,Purchase disabled,08/2022,,?
2.58%,977410,The Dealer,Purchase disabled,08/2022,,14
2.58%,1263850,Football Manager 2021,Purchase disabled,01/2022,,98
2.58%,1637750,Cute Girl 2,Purchase disabled,06/2022,,100
2.57%,419000,RELIC ALONE,Purchase disabled,08/2020,,0
2.56%,49400,Magic: The Gathering - Duels of the Planeswalkers,Delisted,05/2021,,?
2.56%,57970,Duke Nukem Forever,Retail only,,1.19,?
2.56%,1783310,Violation,Purchase disabled,10/2022,,8
2.56%,214210,Cabela's© Hunting Expeditions,Delisted,10/2017,59.86,35
2.55%,378280,Pump-Action Captain,Purchase disabled,11/2018,,0
2.55%,681970,The Tavern,Purchase disabled,10/2020,3.07,0
2.55%,879310,'90s Football Stars,Delisted,09/2019,,10
2.55%,1755270,Cosmic Cube,Purchase disabled,06/2022,,33
2.54%,325630,Arms Dealer,Purchase disabled,12/2018,,17
2.54%,531530,POLYGOD,Purchase disabled,07/2019,,61
2.54%,707860,The Power Factory,Purchase disabled,09/2019,14.61,0
2.54%,821290,RUNE II: Decapitation Edition,Purchase disabled,10/2021,,21
2.54%,1036540,PaymoneyWubby: The Game,F2P (unavailable),01/2021,,?
2.54%,1522010,Firescout,Purchase disabled,10/2022,,7
2.53%,1203030,Tales of Beasteria,Purchase disabled,07/2021,,1
2.53%,1507510,Horus IDLE,Purchase disabled,03/2021,,6
2.52%,227920,Risk,Purchase disabled,06/2020,,0
2.52%,585290,Lifeline,Purchase disabled,04/2021,,15
2.51%,845530,Imperialism: The Dark Continent,Purchase disabled,01/2022,,22
2.51%,996830,Rules of The Mafia: Trade & Blood,Purchase disabled,01/2022,,22
2.51%,618840,Samhain World,Purchase disabled,01/2019,18,0
2.51%,1165670,EVE Aether Wars - Tech Demo,F2P (unavailable),12/2019,,4
2.51%,1225330,NBA 2K21,Purchase disabled,02/2023,,50
2.51%,1818410,Ultimate Muscle Roller Championship,Unreleased,11/2022,,?
2.50%,3630,BookWorm Adventures Volume 2,Delisted,,,?
2.50%,35500,Cities XL - Limited Edition,Delisted,,8.27,0
2.49%,854650,Indian Mutiny: Little Sepoy,Purchase disabled,01/2022,,15
2.49%,1028780,Warmord,F2P (unavailable),09/2019,,?
2.48%,374140,Gravity Core - Braintwisting Space Odyssey,Delisted,07/2017,,16
2.48%,527290,Atelier Firis: The Alchemist and the Mysterious Journey,Purchase disabled,04/2021,131.47,45
2.48%,1127450,Lewd & Nude | Anime Collector,Purchase disabled,03/2021,,7
2.48%,970610,CHECKMATE : Battle Arenas,F2P (unavailable),03/2019,,0
2.46%,1114050,????,F2P (unavailable),12/2019,,?
2.46%,316750,Tetris© Ultimate,Purchase disabled,01/2019,880.72,12
2.46%,1001810,Virus Expansion,Purchase disabled,01/2022,,9
2.45%,819970,Space Junkies - Beta,F2P (unavailable),03/2019,,0
2.44%,1265520,Forbidden Z,F2P (unavailable),04/2021,,?
2.43%,15310,The Settlers: Heritage of Kings,Delisted,01/2019,5.53,0
2.43%,824420,????Ouch!War,F2P (unavailable),07/2018,,8
2.43%,1331440,FUSER,Purchase disabled,12/2022,,48
2.43%,1951490,Dream Catcher VR,F2P (unavailable),06/2023,,?
2.43%,35510,Cities XL,Delisted,,2.22,0
2.43%,885110,Imperialism: Fate of India,Purchase disabled,01/2022,,20
2.41%,290410,Falling Skies: The Game,Delisted,05/2017,,?
2.41%,373280,Brutal Force,Delisted,,,0
2.41%,942580,An Adventurer's Tale,Purchase disabled,08/2022,,44
2.41%,1936540,Kawaii Hentai Girls,Delisted,09/2022,,100
2.41%,387270,Mystical,Purchase disabled,04/2019,1.78,80
2.41%,869120,Grounds of Glory,F2P (unavailable),08/2019,2.93,17
2.41%,929080,Be hate Free Interactive,Purchase disabled,06/2021,61.07,?
2.40%,4320,Star Trek: D-A-C,Delisted,,52.39,14
2.40%,293220,H-Hour: World's Elite,Purchase disabled,09/2023,,60
2.40%,382360,John Wick Chronicles,Purchase disabled,10/2020,,43
2.40%,893360,The Mansion,F2P (unavailable),08/2019,,0
2.39%,841840,Escape From Cozy Island,Purchase disabled,02/2021,,10
2.38%,537100,Shuffle!,Delisted,02/2021,,12
2.38%,453500,Frio- Lost in old town,Purchase disabled,05/2022,,9
2.38%,1429300,The Fishery,Purchase disabled,03/2021,,7
2.38%,1665800,Seek Wife,Delisted,05/2022,,?
2.37%,815420,Bomb Hunter MT,Purchase disabled,06/2023,,0
2.37%,2085130,Monster Girl Dormitory,Purchase disabled,05/2023,,20
2.37%,2209570,Games Gallery,Unreleased,11/2022,,?
2.36%,462950,The East New World,Purchase disabled,05/2022,,40
2.36%,1637760,Men's Club Girl,Delisted,06/2023,,?
2.36%,351900,Pregnancy,Purchase disabled,10/2018,,0
2.36%,906450,Tenacious,Purchase disabled,09/2020,,?
2.36%,1446660,Ayu - The Dream Soul -,Purchase disabled,03/2023,,?
2.36%,1569040,Football Manager 2022,Purchase disabled,11/2022,,98
2.35%,99890,Darkspore,Delisted,,341.54,?
2.35%,221300,Monopoly,Delisted,10/2017,226,?
2.35%,299860,Beasts of Prey,Delisted,,34.39,0
2.35%,413170,Metal Assault,F2P (unavailable),10/2018,,0
2.34%,1464670,Megacraft Hentai Edition,Delisted,08/2021,,?
2.33%,1201640,Island Explorer VR,F2P (unavailable),05/2020,,?
2.33%,1651440,Rhythm Knights,Purchase disabled,07/2023,,18
2.32%,375090,The Eigengrau Menagerie,Purchase disabled,11/2021,,0
2.31%,830390,Vadine: Bite-Man,Purchase disabled,09/2021,,20
2.31%,1276810,The Outbound Ghost,Delisted,03/2023,,?
2.30%,1434870,"1 For Yes, 0 For No",Purchase disabled,09/2021,,?
2.29%,650580,Be Quiet!,Purchase disabled,12/2017,,6
2.29%,1355230,Tetra Online,F2P (unavailable),12/2020,,15
2.28%,8160,Shellshock 2: Blood Trails,Delisted,,,?
2.28%,379370,Mobile Light Force,Delisted,04/2019,,10
2.28%,1054390,Blonde,Purchase disabled,12/2020,,10
2.28%,211380,Shoot Many Robots: Arena Kings,Test app,,,?
2.28%,1073360,Paycheck: City RPG,F2P (unavailable),03/2020,,3
2.28%,1501570,Slender Hentai Edition,Delisted,12/2022,,?
2.27%,10170,Wolfenstein,Delisted,,,0
2.27%,373920,Eisenhorn: XENOS,Purchase disabled,07/2019,,26
2.27%,374230,Twin Robots,Delisted,05/2018,,7
2.27%,736400,Soundscape Classic,F2P (unavailable),10/2018,,0
2.27%,987620,Ski Drive: Biathlon,Purchase disabled,01/2022,,10
2.27%,988190,Red Dead Pixel Man,Delisted,11/2021,,?
2.27%,1452650,Monstrum 2 Beta,Test app,01/2021,,?
2.26%,23200,I-Fluid,Delisted,11/2014,,?
2.26%,611640,Mono,Purchase disabled,09/2019,,0
2.26%,731820,Final Storm,Purchase disabled,07/2023,,15
2.25%,346510,Hyphen,Purchase disabled,11/2018,,20
2.25%,444650,Endciv,Purchase disabled,08/2022,,0
2.25%,838530,Ball Escape,Purchase disabled,02/2023,,0
2.25%,961720,Xenochamber,Purchase disabled,01/2022,,?
2.23%,569590,The Legends of Owlia,Purchase disabled,08/2018,,0
2.23%,12260,Max Payne 2 (RU),Delisted,03/2022,3.09,?
2.23%,664590,Airi's World,Purchase disabled,07/2021,,0
2.23%,693710,PolyKat,Purchase disabled,11/2019,,0
2.23%,716170,Aftercharge ( old alpha ),F2P (unavailable),05/2018,,?
2.22%,437170,The Amazing Adventures of Ash - Afterparty,Purchase disabled,02/2022,,0
2.22%,1607730,Invisible,Purchase disabled,10/2021,,8
2.21%,254650,"Warhammer 40,000: Storm of Vengeance",Delisted,10/2016,,?
2.20%,890340,Lovefield General: Back to Work,Purchase disabled,11/2020,,12
2.20%,895200,Swords of Gargantua,Purchase disabled,07/2022,,0
2.20%,909510,MISTOVER,Purchase disabled,06/2022,,77
2.20%,1832670,Hentai Mahjong: Long Day,Delisted,12/2022,,9
2.19%,779760,Burak Bahar's Unseen Anchor,Purchase disabled,01/2021,,228
2.19%,868060,Immortal Darkness: Curse of The Pale King,Purchase disabled,12/2022,,30
2.19%,1491710,CRIMESIGHT,Purchase disabled,02/2023,,?
2.18%,722010,B A S E M E N T,Purchase disabled,07/2019,,0
2.18%,959130,Dandy & Randy,Purchase disabled,10/2020,27.6,14
2.18%,1639660,Topper Carrier,Purchase disabled,09/2021,,?
2.17%,34650,Massive Assault Network 2,Delisted,04/2017,27.39,?
2.17%,658440,Enshrouded World: Home Truths,Purchase disabled,09/2018,,10
2.17%,1888210,Mini Battle Ground,Purchase disabled,09/2022,,?
2.16%,853140,Adeptus Titanicus: Dominus,Purchase disabled,01/2022,,43
2.16%,1118970,Moira: Fated Twins,F2P (unavailable),10/2019,,?
2.15%,65950,NBA 2K11,Delisted,02/2020,,?
2.15%,386800,Street Fighter V Beta,Pre-order exclusive,06/2016,,?
2.15%,1380210,Lucky Burst,Purchase disabled,08/2021,,21
2.15%,756590,Atelier Lydie & Suelle ~The Alchemists and the Mysterious Paintings~,Purchase disabled,04/2021,,50
2.14%,786020,Warhead,Purchase disabled,10/2019,,?
2.13%,652000,Quantum Pilot,Purchase disabled,10/2019,,24
2.13%,970660,Nuclear Power Station Creator,Purchase disabled,01/2022,,10
2.12%,248630,Kingdoms Rise,Purchase disabled,06/2022,,52
2.12%,568340,Behind the Memory,Purchase disabled,07/2020,,11
2.12%,1015830,Dream Eater Ep1 ??????,Purchase disabled,12/2021,,0
2.12%,2092810,Fire All Humans,Delisted,01/2023,,?
2.11%,850690,Crying is not Enough,Purchase disabled,01/2021,,13
2.11%,883170,AVATAR: Consolidate,Purchase disabled,12/2021,,?
2.11%,970680,Snowballed: Crazy Downhill,Purchase disabled,01/2022,,9
2.11%,1016760,Citizens of Space,Purchase disabled,07/2023,,50
2.11%,1218310,Bombergeddon,Purchase disabled,09/2021,,28
2.10%,1255730,RUNPUZZLE,Purchase disabled,06/2021,,25
2.10%,241990,Sorcerer King,Delisted,12/2019,15.78,40
2.10%,868440,Apostasy,Purchase disabled,02/2023,,0
2.10%,949710,Exiled to the Void,Purchase disabled,01/2022,,18
2.09%,1087350,BDSM Waifu,Purchase disabled,12/2020,,10
2.09%,1274430,Human Origin,Purchase disabled,08/2022,,10
2.09%,1315640,Actor Tycoon 2,Purchase disabled,03/2022,,42
2.09%,2096310,Novastella Island,Purchase disabled,03/2023,,?
2.08%,524110,Emergency 2017,Purchase disabled,11/2019,,71
2.08%,938500,Willowbrooke Post,Delisted,10/2022,7.53,0
2.08%,995870,Toddler Shooter,Purchase disabled,02/2021,,9
2.08%,1163140,Shanghai Office Simulator,Purchase disabled,09/2023,,214
2.08%,1611460,Hide and Run,Purchase disabled,03/2023,,6
2.07%,251610,Barbie? Dreamhouse Party?,Delisted,,659.8,0
2.07%,722410,Fallen Kingdom,Purchase disabled,02/2022,,0
2.07%,812120,XIII - Lost Identity,Delisted,03/2019,,0
2.07%,895450,UglyDolls: An Imperfect Adventure,Purchase disabled,05/2021,12.07,30
2.07%,990740,The Second Chance Strip Club,Purchase disabled,08/2021,,23
2.07%,1391770,Sushi Slammers,Purchase disabled,10/2021,,?
2.05%,214270,Mensa Academy,Delisted,,103.46,?
2.05%,235760,Young Justice: Legacy,Delisted,05/2017,227.49,49
2.05%,838820,Warzone VR,Purchase disabled,11/2020,,?
2.04%,789970,Let's Kill Zombies VR,Purchase disabled,11/2022,,0
2.03%,348490,Beyond Sol,Purchase disabled,05/2023,,40
2.02%,224700,The Game of Life,Purchase disabled,10/2020,,0
2.02%,688480,EVE: Valkyrie - Warzone,Purchase disabled,07/2022,,33
2.02%,788260,Rules Of Survival,Purchase disabled,04/2022,,0
2.02%,1054850,Storms,Purchase disabled,10/2021,,?
2.02%,1180310,Comanche Open Multiplayer Beta,F2P (unavailable),03/2020,,?
2.02%,1221580,Phageborn Online Card Game PUBLIC BETA,Test app,02/2020,,?
2.02%,1579590,SDST: Deluxe,Purchase disabled,08/2022,,14
2.02%,501740,Dropship Down,Purchase disabled,02/2017,,41
2.02%,1632980,schoolbreak.io,Purchase disabled,04/2023,,?
2.02%,2088040,PongPong Girl,Purchase disabled,10/2022,,?
2.01%,379350,Sol Divide,Delisted,04/2019,,10
2.01%,1337340,Hop Skip Jump,Purchase disabled,07/2022,,4
2.00%,464820,Awakening of Solutio,Delisted,01/2017,,?
1.99%,519930,Social Interaction Trainer,Delisted,07/2017,,0
1.99%,1402390,ODDITYGIRLs: Virtual World,F2P (unavailable),10/2020,,?
1.98%,1265390,EllrLand,Purchase disabled,09/2022,,60
1.98%,1331200,Backfire,Purchase disabled,09/2021,,7
1.98%,1376060,Masked Vale,Purchase disabled,02/2023,,5
1.98%,1503010,Slave Application,Purchase disabled,07/2023,,?
1.97%,4830,S.T.A.L.K.E.R.: Shadow of Chernobyl,Delisted,,0.31,?
1.97%,317330,Defenders of Time,Purchase disabled,,,0
1.97%,793170,Seeking Dawn - Free to Play Edition,F2P (unavailable),12/2018,,?
1.97%,15230,Blazing Angels 2: Secret Missions of WWII,Delisted,07/2017,,?
1.97%,357700,Rogue Continuum,Purchase disabled,08/2019,,0
1.96%,1344600,Sexy Caravan,Purchase disabled,01/2022,,15
1.94%,436560,Kings and Heroes,Purchase disabled,05/2019,,0
1.94%,1223760,Recoil,Purchase disabled,09/2022,,6
1.94%,46230,Streets of Moscow,Delisted,,,?
1.94%,1135410,Hentai Girl Slide Puzzle,Purchase disabled,02/2021,,1
1.94%,1923860,Neon Outlast,Purchase disabled,09/2022,,?
1.93%,894790,Invaders! From Outer Space,Purchase disabled,11/2019,,?
1.92%,245130,The Dead Linger,Delisted,,,?
1.92%,825080,Dragonward,Purchase disabled,06/2020,,10
1.92%,1065380,Lesbian Breakout,Purchase disabled,12/2020,,11
1.92%,515980,The Horus Heresy: Battle of Tallarn,Purchase disabled,02/2020,,16
1.92%,606720,Cosmic Kites,Purchase disabled,05/2019,,15
1.92%,896070,Second Hazardous Course,Purchase disabled,08/2021,,?
1.91%,1131290,Zeta Flyff,F2P (unavailable),11/2019,,?
1.90%,473900,Oath of Genesis,Delisted,,,?
1.90%,867570,Red Rose Rising,Purchase disabled,06/2021,,0
1.89%,227900,Battleship,Purchase disabled,10/2020,,0
1.89%,396830,Strangers,Delisted,,,?
1.89%,590510,SoundSelf: A Technodelic,Purchase disabled,06/2023,,12
1.89%,1942450,Gemlands,Purchase disabled,04/2023,,8
1.88%,1267860,Hinterhalt 3,Purchase disabled,03/2023,,22
1.87%,562210,Ancient Rus,Purchase disabled,11/2018,,40
1.87%,812510,????,F2P (unavailable),10/2019,,?
1.87%,1059760,Sicier's Zweck,Purchase disabled,08/2022,,9
1.87%,102820,The Sims(TM) Medieval,Delisted,08/2016,15.52,?
1.87%,330210,Asteroids: Outpost,Delisted,10/2016,,?
1.87%,361660,Accidental Runner,Delisted,06/2017,1025.34,?
1.86%,748150,The Love Boat,Purchase disabled,12/2019,,20
1.85%,218310,Frontline Tactics,F2P (unavailable),01/2023,,23
1.85%,921630,?? INVAXION,Purchase disabled,03/2021,,99
1.85%,949210,Hinterhalt 2,Purchase disabled,03/2023,,8
1.85%,1194770,Sanctum Breach,Purchase disabled,06/2021,,?
1.83%,362350,Boss Monster,Purchase disabled,05/2019,,0
1.82%,915140,Adera,Purchase disabled,10/2021,,64
1.82%,1158840,????,Purchase disabled,07/2022,,28
1.82%,1502250,Dragonborne,Purchase disabled,02/2023,,?
1.82%,1576290,BENTO GIRL,Purchase disabled,01/2022,,12
1.82%,708550,Skydome,F2P (unavailable),05/2023,,?
1.82%,1014020,Successor of the Moon,Purchase disabled,07/2020,,7
1.81%,664890,Undoing,Purchase disabled,05/2021,12.43,26
1.81%,906950,Bomb Riders,Purchase disabled,11/2023,,6
1.81%,975600,Roguelite,Purchase disabled,12/2019,,3
1.80%,292680,Princess Isabella - Rise of an Heir,Delisted,,7.56,?
1.80%,1422680,Battle Sad Boy,Purchase disabled,12/2021,,4
1.80%,1548510,Drawing,Purchase disabled,09/2021,,15
1.79%,285400,A-Train 9,Delisted,,4.69,?
1.79%,312430,Sovereignty: Crown of Kings,Purchase disabled,01/2021,,41
1.79%,621940,Unleash,Purchase disabled,10/2019,,32
1.79%,1239440,Surviving Titan,Purchase disabled,07/2023,,40
1.79%,350840,Bonetown - The Power of Death,Delisted,06/2018,,?
1.79%,1244860,Dawn of Fear,Purchase disabled,11/2023,,12
1.79%,1481030,Cafe Simulator,Purchase disabled,04/2023,,?
1.78%,1684120,4 Alice Magical Autistic Girls,Purchase disabled,01/2022,,30
1.77%,48160,Tom Clancy's H.A.W.X. 2,Delisted,,48.82,0
1.77%,488510,Dumb Chicken 2: One Way Out,Delisted,11/2017,,41
1.77%,834340,The Hardest Dungeon,Purchase disabled,07/2022,,25
1.77%,996170,Mage VR -Mini Version-,F2P (unavailable),03/2019,,?
1.77%,1051170,??/HOME,Purchase disabled,02/2023,,?
1.76%,740720,Masked and Mysterious,Purchase disabled,07/2019,,0
1.76%,1168940,Crystal core,Purchase disabled,02/2023,,16
1.76%,892650,Play With Kizami,Purchase disabled,07/2021,,25
1.76%,1238320,Dead Cubes,Purchase disabled,05/2022,,?
1.76%,1971690,The Orb of Darkness,Purchase disabled,04/2023,,?
1.75%,861810,Tango 5 Reloaded : Grid Action Heroes (Open Beta),F2P (unavailable),09/2018,,?
1.75%,938210,Jack & the creepy Castle,Purchase disabled,11/2019,,?
1.75%,1481430,"No Sushi, No Life",Purchase disabled,02/2022,,?
1.75%,1711430,Riders of Icarus: SEA,F2P (unavailable),07/2022,,?
1.74%,1261500,Witch Zoe - Hentai Shuffle,Purchase disabled,08/2021,,65
1.73%,234100,Scrabble,Purchase disabled,10/2020,,0
1.73%,630400,Explottens,Delisted,10/2022,,21
1.72%,72500,Arcadia,Purchase disabled,04/2020,,17
1.72%,928460,The Love Boat - Second Chances,Purchase disabled,12/2019,,15
1.72%,1293970,Sound Science,Purchase disabled,04/2021,,?
1.72%,1311330,Pro Basketball Manager 2021,Purchase disabled,12/2022,,45
1.71%,99200,YOU DON'T KNOW JACK,Purchase disabled,,,33
1.71%,1904540,Football Manager 2023,Purchase disabled,11/2023,,?
1.70%,24500,Dreamkiller,Delisted,,,?
1.70%,343330,NEED FOR MADNESS ?,F2P (unavailable),,,?
1.70%,441920,Dovetail Games Flight School,Delisted,04/2017,34.61,?
1.69%,702510,Mille Bornes,Purchase disabled,11/2020,,0
1.69%,712430,Vibrant,Purchase disabled,12/2020,18.79,0
1.69%,1099980,?????,F2P (unavailable),12/2019,,0
1.68%,950910,Space Bugs,Purchase disabled,02/2023,,40
1.67%,451520,theBlu: Season 1,Purchase disabled,12/2022,,0
1.67%,676480,Jettomero,Purchase disabled,06/2020,,15
1.67%,1314830,Finding Kathy,Purchase disabled,07/2021,,36
1.67%,1996570,Eschew,Purchase disabled,04/2023,,?
1.66%,606190,Nighthaw-X3000,Purchase disabled,07/2019,4.94,18
1.66%,940130,Red and Blue ~ Cycles of Existence,Purchase disabled,07/2020,,2
1.66%,1156850,Dystopian Drift,Purchase disabled,10/2022,,5
1.66%,686740,Haunted Dungeons: Hyakki Castle,Purchase disabled,11/2022,,18
1.64%,11900,Lumines,Delisted,06/2018,,?
1.64%,450840,Robert Mensah's Sins Of The Father,Delisted,01/2018,,?
1.64%,1132360,Raiding Area 51 - Break out Waifu,Purchase disabled,08/2020,,10
1.63%,50640,Darksiders,Retail only,,2.08,?
1.63%,20840,Rugby Challenge,Delisted,06/2014,14.75,?
1.63%,90800,Crasher,Delisted,,,?
1.63%,1385510,Back 4 Blood Beta,Test app,08/2021,,?
1.63%,1810580,Nobody - The Turnaround,Purchase disabled,11/2022,,?
1.62%,11500,ToCA Race Driver 3,Delisted,,,0
1.62%,656030,The Lost Legends of Redwall: The Scout Act 1,Purchase disabled,09/2023,,54
1.62%,1243270,Castle of Lust - Hentai Fantasy Game,Purchase disabled,08/2021,,32
1.62%,1300680,Goblin Jargon,Purchase disabled,02/2021,,40
1.62%,1680280,Amidst The Darkness,Purchase disabled,10/2022,,?
1.61%,1081100,Insurgence - Second Assault,Purchase disabled,11/2022,,15
1.61%,811900,Tidy Your Room Simulator,Purchase disabled,12/2022,,0
1.59%,918140,Hack the Core,Purchase disabled,07/2020,,9
1.59%,959830,Navalny: Posledniy miting,Delisted,11/2021,,?
1.59%,1395280,Infanticide | ??????????,Purchase disabled,07/2022,,?
1.58%,714150,Bombastic Cars,Purchase disabled,08/2018,,0
1.58%,1202950,GROUND BRANCH CTE (Community Test Environment),Test app,07/2022,,?
1.58%,904940,Les 4 Alice: Lorange Journey,Purchase disabled,07/2020,,26
1.58%,1457810,??????,Purchase disabled,10/2022,,61
1.57%,1441900,Bubble Girl,Purchase disabled,04/2021,,11
1.56%,720200,Vinewing,Purchase disabled,10/2022,,44
1.56%,1160480,Boot : Game Dev Sim,Purchase disabled,12/2022,,?
1.56%,58300,System Protocol One,Delisted,,,?
1.56%,381180,Edengrad,Delisted,01/2023,,0
1.56%,463470,Lithium: Inmate 39,Purchase disabled,09/2019,,8
1.55%,1202990,North Of Iraq Part 1,Purchase disabled,12/2021,,4
1.55%,1501000,Katrina's Kurse,Purchase disabled,02/2023,,?
1.54%,1573530,Prison 69,Purchase disabled,12/2021,,8
1.53%,339640,Jagged Alliance Online: Reloaded,Purchase disabled,10/2018,,32
1.53%,595270,Million to One Hero,Purchase disabled,10/2023,,31
1.53%,812020,Elea,Purchase disabled,08/2019,,19
1.53%,1159480,BOW MAN,Purchase disabled,02/2022,,?
1.53%,1201710,Eternal Return: Black Survival - Closed Beta,F2P (unavailable),12/2019,,?
1.53%,786620,Dash Blitz,Purchase disabled,03/2023,,0
1.52%,532790,Vampire: The Masquerade - Bloodlines 2,Purchase disabled,02/2021,,?
1.52%,757160,ULTIMATE ARENA: SHOWDOWN,Purchase disabled,12/2021,,0
1.51%,265650,Project X,F2P (unavailable),,,?
1.51%,506560,A Divided Light,Purchase disabled,10/2020,,9
1.51%,870510,The Fiend's Tavern,Purchase disabled,09/2019,,?
1.51%,903670,Dogs of War: Kill to Survive,Delisted,12/2021,,?
1.51%,446510,Armed and Gelatinous,Purchase disabled,03/2019,,31
1.51%,1391160,EPEJSODION Dodgeball Attack,Purchase disabled,03/2022,,32
1.50%,1423080,????????2,Purchase disabled,05/2023,,?
1.50%,1513270,Exit Strategy,Purchase disabled,10/2022,,24
1.50%,2025830,Brutal Japan | ?????,Purchase disabled,07/2022,,?
1.49%,314850,Haunted House: Cryptic Graves,Purchase disabled,,455.02,18
1.49%,346300,Containment Protocol,Purchase disabled,02/2020,,0
1.49%,491770,Deformers,Purchase disabled,05/2018,,23
1.49%,786650,Running King,Purchase disabled,12/2020,23.3,10
1.49%,1207280,Hentai StoryS,Unreleased,03/2020,,?
1.48%,1248150,Warshmallows,Purchase disabled,03/2023,,?
1.48%,228040,The White Birch Prototype,Retail only,11/2012,,?
1.48%,257080,Tiny Thief,Delisted,08/2016,,?
1.48%,735030,Oneirogen,Purchase disabled,04/2022,,0
1.48%,1191190,War Robots: Planet Defender,Delisted,10/2023,,?
