Owners,AppID,Name,Type,Changed,Kinguin,Achievements
22.24%,111900,Guardians of Middle-earth,Purchase disabled,01/2019,2.71,29
22.00%,207370,eXceed - Gun Bullet Children,Purchase disabled,01/2023,,0
21.97%,226320,Marvel Heroes Omega,F2P (unavailable),11/2017,,91
21.94%,323370,TERA,F2P (unavailable),11/2020,,0
21.92%,486880,Abrix for kids,Purchase disabled,01/2021,,1
21.82%,9000,Wolfenstein 3D: Spear of Destiny,Purchase disabled,09/2022,,0
21.77%,45500,Clickr,Delisted,01/2018,1.19,75
21.74%,3810,BloodRayne,Purchase disabled,11/2020,8.73,0
21.70%,3820,BloodRayne 2,Purchase disabled,11/2020,7.47,0
21.62%,8170,Battlestations: Pacific,Purchase disabled,02/2021,22.56,0
21.61%,429180,Project CARS - Pagani Edition,F2P (unavailable),11/2022,,0
21.50%,342150,Games of Glory,F2P (unavailable),03/2021,,94
21.46%,216110,Tiny Troopers,Purchase disabled,03/2023,,25
21.45%,576440,Horror Hospital,Delisted,02/2019,,42
21.39%,301480,GEARCRACK Arena,Delisted,,,?
21.28%,261490,Bedlam,Purchase disabled,06/2020,3.7,24
21.20%,73020,Majesty 2 Collection,Purchase disabled,01/2019,1.78,0
21.15%,207400,eXceed 3rd - Jade Penetrate Black Package,Purchase disabled,01/2023,,0
21.14%,202270,Leviathan: Warships,Delisted,08/2018,1.1,20
21.10%,407620,Indie Game Battle,Purchase disabled,05/2019,,40
21.08%,503300,Super Star,Purchase disabled,02/2022,,32
21.02%,224060,Deadpool,Delisted,11/2017,232.69,50
20.98%,287140,Selfie: Sisters of the Amniotic Lens,Purchase disabled,11/2018,,0
20.89%,234000,Superfrog HD,Delisted,,9.44,12
20.74%,207380,eXceed 2nd - Vampire REX,Purchase disabled,01/2023,,0
20.47%,635730,Dragonia,Purchase disabled,02/2022,,46
20.43%,240180,Duke Nukem 2,Delisted,,310.38,?
20.40%,208500,F1 2012,Purchase disabled,03/2022,,49
20.39%,1190460,DEATH STRANDING,Delisted,11/2022,,63
20.38%,1301210,Knockout City?,F2P (unavailable),06/2023,,50
20.31%,432760,Small Town Terrors: Galdor's Bluff Collector's Edition,Delisted,04/2019,1.08,0
20.28%,268810,Paranormal State: Poison Spring Collector's Edition,Purchase disabled,04/2022,,20
20.28%,716610,Battle for the Galaxy,F2P (unavailable),10/2022,,?
20.25%,351990,Riff Racer,Purchase disabled,12/2022,,38
20.22%,240160,Duke Nukem,Delisted,,328.07,?
20.19%,356200,Keen Dreams,Delisted,08/2018,,16
20.17%,570380,Death penalty: Beginning,Purchase disabled,06/2018,,0
20.15%,663380,Tales from Candlekeep: Tomb of Annihilation,Purchase disabled,05/2022,,26
19.97%,322040,Cooking Academy Fire and Knives,Delisted,04/2018,0.72,?
19.95%,308320,Total Pro Golf 3,Delisted,04/2018,1.07,?
19.88%,302240,Chernobyl Commando,Purchase disabled,06/2020,4.39,0
19.79%,302250,Manhunter,Purchase disabled,06/2020,1,0
19.63%,340770,Death Goat,Purchase disabled,12/2019,0.79,6
19.60%,251710,Chainsaw Warrior,Delisted,05/2021,1.18,23
19.58%,287340,Colin McRae Rally,Purchase disabled,01/2019,39.06,16
19.56%,15950,Reaxxion,Delisted,04/2018,4.49,?
19.55%,368750,Nebula Online,Delisted,03/2017,4.91,?
19.53%,8370,Strong Bad Episode 4: Dangeresque 3,Purchase disabled,06/2023,3.46,0
19.53%,214610,Cherry Tree High Comedy Club,Purchase disabled,07/2022,,0
19.52%,633130,NongÅnz,Purchase disabled,03/2020,1.5,26
19.51%,8340,Strong Bad Episode 1: Homestar Ruiner,Purchase disabled,05/2023,3.46,0
19.51%,8350,Strong Bad Episode 2: Strong Badia the Free,Purchase disabled,06/2023,3.46,0
19.51%,8360,Strong Bad Episode 3: Baddest of the Bands,Purchase disabled,06/2023,3.46,0
19.51%,8380,Strong Bad Episode 5: 8-Bit Is Enough,Purchase disabled,06/2023,3.46,0
19.45%,4550,Titan Quest: Immortal Throne,Delisted,09/2016,5.71,?
19.44%,12170,Grand Theft Auto,Purchase disabled,,,0
19.44%,12180,Grand Theft Auto 2,Purchase disabled,,,0
19.35%,336280,Chronicles of a Dark Lord: Episode 1 Tides of Fate Complete,Purchase disabled,03/2020,1.21,46
19.35%,44360,F1 2011,Purchase disabled,05/2021,39.45,0
19.32%,227480,God Mode,Purchase disabled,03/2023,4.43,24
19.14%,251770,Shadow Man,Purchase disabled,04/2021,6.9,0
19.06%,346270,Fortune's Tavern - The Fantasy Tavern Simulator!,Delisted,,3.81,?
18.98%,231910,Leisure Suit Larry in the Land of the Lounge Lizards: Reloaded,Purchase disabled,11/2017,66.21,40
18.96%,332070,School of Dragons: How to Train Your Dragon,F2P (unavailable),06/2023,,110
18.92%,358370,Terminal Velocity: Legacy,Purchase disabled,03/2023,,0
18.89%,316010,Magic Duels,F2P (unavailable),11/2019,,49
18.85%,263500,Dragons and Titans,F2P (unavailable),11/2022,,52
18.85%,317620,Space Hulk Ascension,Purchase disabled,11/2019,2.98,163
18.83%,384930,Pilot Crusader,Purchase disabled,10/2016,,0
18.77%,209870,Blacklight: Retribution,F2P (unavailable),03/2019,,25
18.77%,235340,Prime World,F2P (unavailable),04/2021,,0
18.72%,333740,The Falling Sun,Delisted,01/2018,3.27,?
18.70%,102500,Kingdoms of Amalur: Reckoning?,Purchase disabled,07/2020,3.45,61
18.66%,369580,NotTheNameWeWanted,Purchase disabled,10/2022,,39
18.65%,17430,Need for Speed: Undercover,Purchase disabled,06/2021,4.74,0
18.60%,18490,The Whispered World,Delisted,05/2014,1.45,?
18.46%,463700,Super Cloudbuilt,Purchase disabled,09/2021,1.2,38
18.45%,235400,King?s Bounty: Legions,F2P (unavailable),07/2022,,0
18.33%,358400,Shadow Warrior (Classic),Purchase disabled,,311.28,0
18.31%,201280,Deus Ex: Human Revolution - The Missing Link,Delisted,,,?
18.24%,12160,Midnight Club II,Purchase disabled,02/2018,,0
18.23%,508380,Amnesia: Final Revelations,Delisted,08/2017,,0
18.20%,533690,Think To Die,F2P (unavailable),03/2023,,11
