company_name,count
Dolores Entertainment,1
KintoGames,1
Moral Anxiety Studio,1
Cryptozoic Entertainment,1
Spacebot Interactive,1
EA Black Box,1
Lucid Games,1
Strange Matter Studios,1
Cauldron HQ,1
NovaLogic,1
HiderumStudios,1
Cozy Game Pals,1
Project Aces,1
Zatara Software Ltd,1
Tudo Rip Games,1
Tag Games,1
Wangyuan Shengtang,1
Signal Studios,1
Vanille Games,1
FeelThere,1
RandomSpin,1
Capybara Games,1
Onmoon,1
Spilt Milk Studios Ltd,1
BigBox VR,1
atelier773,1
Undead Labs,1
Eneme Entertainment,1
Reloaded Studios,1
United Front Games,1
Phoenix Game Studio,1
Sky Bear Games,1
Epicenter Studios,1
Rinberd,1
Dreamlore,1
N-Game Studios,1
Gamera Interactive,1
Izeeware,1
夜雨ドッド,1
Frosty Elk,1
Wonder People,1
Daniel Gelber,1
Satoshi's Games,1
Treyarch,1
SHOPSOFT,1
Glass Heart Games,1
Eathams,1
Torai Anguru!,1
Black Wing Foundation,1
Arigatonasu,1
GHS Game,1
Mia Blais-Cote,1
No Bloat,1
Tojoy Game,1
Probe Software,1
Kukouri Mobile Entertainment,1
Forge Reply srl,1
Wildbus Studio,1
Ghost Time Games,1
Nacho Games,1
Black Lantern Studios,1
Grumpy Otis Games,1
Runewaker Entertainment,1
Conradical Games,1
Aldin Dynamics,1
Black Eye Games,1
Rose City Games,1
Next Level Games,1
Q Entertainment,1
StaplesVR,1
Orthrus Studios,1
Grasshopper Manufacture,1
Digital Reality,1
Playstige Interactive,1
Playstige,1
HandyGames,1
Serellan LLC,1
Beacon of Gamers Studio,1
Gonzo Games,1
Sideline Amusements,1
Octagon Interactive,1
Spike ChunSoft,1
Phosphor,1
Trilobyte,1
Triangle Studios,1
Rogue Sun,1
Fair Games Studio,1
Matrix Software,1
Mastiff,1
Bravery Software,1
Tigon Studios,1
Joycity Corporation,1
Just Add Oil Games,1
X-Legend,1
Norsfell,1
Snowblind Studios,1
Sleeping Hero,1
Robot Riot,1
Mojang Studios,1
Armor Project,1
Super Punk Games,1
Frontier Developments,1
Grab,1
Viewpoint Games,1
Darewise Entertainment,1
HeroCraft,1
Draydur Studio,1
GameCoder Studios,1
Vigil Games,1
Anuman Interactive,1
Rapak Games,1
Frontier,1
Bloober Team,1
Last Limb LLC,1
Rovio Entertainment,1
Caipirinha Games,1
Darkworks,1
ByteRockers' Games,1
Nvizzio Creations,1
"CFK Co., Ltd.",1
Chautauqua Software,1
Asakusa Studios,1
Meerkatgames,1
Extent5,1
Void Interactive,1
Pearl Abyss,1
Joystick Knights,1
souvenir circ.,1
Psyonix,1
Shai Angress,1
Wyrmbyte,1
Backflip Studios,1
CBE software,1
Slant Six Games,1
Klei Entertainment,1
Beenox,1
Tactic Forge,1
LFiO Studio,1
Doublesix Games,1
Gamemag,1
TeePee Studios,1
Mind's Eclipse Interactive,1
Westwood Studios,1
Terminal Press,1
Encircle Games,1
Flatcoon,1
Bug Inventors,1
Delectable Studios,1
Opendix147,1
[geim].pro,1
Game Insight,1
Thinice Games,1
DB Creation,1
Pixelmate,1
A Grumpy Fox,1
Xatrix Entertainment,1
Dream Potion Games,1
Chemical Games Studio,1
Thirdverse,1
Quantum Lion Labs,1
CFK,1
YGGDRASIL STUDIO,1
Freakinware Games,1
Reum Entertainment,1
White Smoke Games,1
OverPowered Team,1
C3SK,1
Monkeymaw,1
Chibig,1
Spearhead Games,1
Just A Pixel Ltd,1
Biart,1
Edge of Reality,1
Fall Damage,1
Infinite Interactive,1
Pointscape,1
In Vitro Games,1
Industry Games,1
Vogster Entertainment,1
CMOAR Studio,1
Giant Box Games,1
Cyanide Studio,1
Madlife Divertissement,1
Top Hat Studios,1
Pieces Interactive,1
Encore,1
ValuSoft,1
Big Daddy's Creations,1
PressA,1
Darius Immanuel D. Guerrero,1
Orihaus,1
Krafton,1
Enplex Games,1
Visionary Realms,1
Acclaim Studios Teesside,1
Slitherine Ltd.,1
Gatling Goat Studios,1
Indie World Order,1
XPloria / Musclebird,1
Iris Productions,1
LOOKSTEN,1
Essence Ltd.,1
Yooreka Studio,1
imcGames,1
HanbitSoft,1
Eidos Montréal,1
Counterplay Games Inc.,1
Gamesare,1
Fun Games For Free,1
Xiotex Studios,1
Warlogics Ltd.,1
Size Five Games,1
Hero Blocks ApS,1
SuperTrick Games,1
NUMBER7,1
Digital Extremes,1
Red Fly Studio,1
Robomodo,1
Rock Pocket Games,1
Million on Mars,1
NeuronHaze,1
Stoic,1
InjectWare Studio,1
Redhill Games,1
Farom Studio,1
Her Interactive,1
Kicksome Entertainment,1
UserJoy Entertainment,1
Abyssal Arts,1
Platine Dispositif,1
Old School Games,1
Aeria Games,1
Plain Concepts Corp,1
Funny Angle Games,1
GYAAR Studio,1
Tarhead Studio,1
Hydrant Games,1
MULTIVERSUM,1
Toxodon Games,1
PlayFirst,1
"Rocketeer Games Studio, LLC",1
Norven Games,1
Player First Games,1
Hybriona Labs,1
upjers,1
Banana Cat,1
Mythic Entertainment,1
Phantom Compass,1
JC Planet,1
SpikySnail,1
Virgin Games USA,1
Rune Skovbo Johansen,1
Blue Brain Games,1
Third Wave Games,1
8monkey Labs,1
Katauri Interactive,1
Pixelmage Games,1
Wolf & Bear,1
Strategy First,1
AvoCavo,1
Square,1
Quixel Network,1
Three Gates,1
Dharker Studio,1
DTP Entertainment,1
Bolvërk Games,1
Citeremis Inc.,1
Hammerfall Publishing,1
Radiant Game Studios,1
Curio Productions,1
Batovi Games Studio,1
Fineway Studios,1
High Tale Studios,1
Rockstar Toronto,1
Massive Entertainment,1
Gameplay First Studios,1
Net Dragon,1
Schizotypy Games,1
Systence Games,1
Red Storm Entertainment,1
Gradual Games,1
Offworld Games,1
Team17,1
SC-KR Games,1
Galaxy Studio,1
Majoris Studios,1
Skyline Games,1
SimBin,1
Fireblitz,1
BricksVR,1
BricksVR Studios,1
Jumpsky.co,1
Systemic Reaction,1
bitSmith Games,1
漾夕,1
The Secret Games Company,1
Jellyvision,1
Webfoot Technologies,1
Iron Galaxy Studios,1
Game Mechanic Studios,1
Flaming Fowl Studios,1
Fatih Mert,1
Red Fox Studio,1
Pixeldiet Entertainment,1
Arrowhead Game Studios,1
weheartprojects.com,1
Most Wanted Entertainment,1
Serkan Bakar,1
Master UOMU,1
CyberStep,1
Individual Software,1
Aventurine,1
Andromeda Entertainment,1
Gazillion Entertainment,1
Lost Mountain,1
Blue Wizard Digital,1
Imagine Fantasia,1
Trapped in Despair,1
Stained Glass Llama,1
Visual Impact,1
Burning Arrow,1
4 I Lab,1
DitD Team,1
Slime King Games,1
Black Potion,1
Facepunch Studios,1
Kiz Studios,1
Strange Graphs Technologies L.L.C.,1
Golden Orb,1
Gunnar Games,1
"Bit Fry Game Studios, Inc.",1
Vae Victis Games,1
"Fair Weather Studios, LLC",1
Gearbox Software,1
Quantum Productions,1
Nippon Ichi Software,1
ForwardWorks,1
Storyline Team,1
Jamo Games,1
HeadByte Studios,1
Tall Tail Studios,1
Sigma Team,1
Holistic Design,1
Illion Corp,1
Sweet Games,1
BLUE BOX Game Studios,1
Ideonic,1
SKB Game,1
Kool2Play,1
Keydare Project,1
Shiisanmei,1
RETIAD,1
Magic Wand Productions,1
Igor Krutov,1
Games Foundry,1
AtomicElbow AB,1
Arcturus Studios Inc,1
PTW,1
Westlake Interactive,1
General Arcade,1
3D Realms,1
Enyx Studios,1
BugBrains,1
Xendex,1
Pin-Point,1
TunaWithSalmon Games,1
Minimon Team,1
Code Mystics,1
Dungeoneering Studios,1
JoyImpact,1
ISOTX,1
Dragonfly,1
Explosm,1
Galvanic Games,1
Tekkou Studios,1
Chilla's Art,1
Playrix Entertainment,1
Witan Game Production House,1
Divivor,1
BlankGamesOnline,1
VI Games,1
Big Fish Games,1
Matt Boyer,1
Zine FALOUTI,1
TimeGate Studios,1
Above and Beyond Technologies,1
ebb and flow games,1
Stelex Software,1
Triverske,1
Hyperbolic,1
octopus-studio,1
Kerberos Productions,1
Epic Multimedia Group,1
Rockin Android,1
Odd Critter Games,1
Likely Games,1
Studio Skeleton,1
False Crow Studios Ltd,1
Midwinter Entertainment,1
"Mokylin Tech. Co.,Ltd",1
The Balance,1
Izyplay Game Studio,1
Rogue Earth LLC,1
AMT Games Publishing Limited,1
Wer,1
Videokid Games,1
PixelTrip Studios,1
Ongakken s. r. o,1
Benerot,1
Forever Entertainment S. A.,1
ESTsoft,1
Nickervision Studios,1
Hexar Games,1
Void Dimensions,1
Sperasoft Inc.,1
REEW GAMES,1
LDC Studios,1
Pow Wow,1
Purple Lamp Studios,1
Phenomic Game Development,1
GOKHAN CALISKAN,1
Ready at Dawn,1
Rockstar San Diego,1
Giant Space Monster,1
13856,1
The Binary Mill,1
Broken at Release Game Studio,1
DolphinBarn,1
Mando Productions,1
Asteristic Game Studio,1
b1stable,1
Biterkid,1
Alyssa Genereau,1
Fukazume Kizoku,1
Rockywood Studios,1
The Creative Assembly,1
Daybreak Games,1
Static City Games,1
Crazy Dog Games Tmi,1
"Netker Co., Ltd.",1
Super Hatch Games,1
Steel Wool Studios,1
Imperfect Studios,1
White Guardian Studios LLC,1
EKO Software,1
Hinge Games Lts.,1
EmiliaD2313,1
Netzweck GmbH,1
Super Evil Megacorp,1
Psydra Games LLC,1
Rooster Teeth Games,1
Middle City Games,1
Brain Candy,1
Robosoft Technologies,1
Eidos Hungary,1
Michael Janisch,1
Diios,1
Blackpowder Games,1
Water Phoenix,1
Certain Affinity,1
Peaksel D.O.O. Nis,1
YakiCL,1
StarVerse Interactive,1
Sixense,1
Bad Viking,1
Rogue Entertainment,1
Dongleware,1
DevHour Games,1
Wild Planet Studio,1
SUTD Game Lab,1
Souris-Lab,1
J. J. A,1
Mathias,1
Damaged,1
Pablo Heckman,1
Hipnotic Interactive,1
LEAP Game Studios,1
8870,1
Sixteen Tons Entertainment,1
WZL Game Design,1
Swizzle llc,1
HoneyHeart,1
Ratloop Games Canada,1
Ridiculous Games,1
Key,1
Dan Sanderson,1
Focus Studios,1
FrozenPixel (FPX),1
Abyssal Studios,1
Red Wasp Design Ltd,1
PixelMetal,1
Robot Entertainment,1
Pixelabor,1
weRplay,1
Parallel Space Inc,1
FarSpace Studios,1
Rednim Games,1
Naked Sky Entertainment,1
NExT Studios,1
Bossa Studios,1
Revive Studios LLC,1
Rocket Cola Studio,1
Iron Horse Games,1
15663,1
Psikyo,1
Four Lights,1
Marshlight Software,1
Crossingstar Studio,1
Inu to Neko,1
42 Foundation,1
LAB132,1
Nexon Korea,1
Deeli Network,1
Stardock Entertainment,1
Jaroslav Halaš,1
